Brand,Name,Price,Link,Image
COTTON ON BODY ,Áo Thun Cộc Tay Nữ - Cross Back Tank,265.000,https://www.acfc.com.vn/body-ao-thun-coc-tay-nu-cross-back-tank-coc-6334159-05.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/3/6334159-05-2_lvqgllohyrrsz8cx.jpg
GAP ,Áo Thun Tay Ngắn Nữ,550.000,https://www.acfc.com.vn/ao-thun-tay-ngan-nu-gap-795346-05.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn19982073_azdthlygflhnv3vx.jpg
COTTON ON BODY ,Áo Tắm Nữ - Midi Bandeau Bikini Top,95.000,https://www.acfc.com.vn/body-ao-tam-nu-midi-bandeau-bikini-top-coc-6332461-01.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/3/6332461-01-4_4.jpg
CK UNDERWEAR ,Quần Lót Nữ Hipster Fit,599.000,https://www.acfc.com.vn/ck-underwear-quan-lot-nu-hipster-fit-ck-qd3767-13r.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/2/c25_03_qd376713r_mo-st-f1_1.jpg
COTTON ON BODY ,Áo Bơi Nữ - Gathered Front Crop Bikini Top,429.000,https://www.acfc.com.vn/body-ao-boi-nu-gathered-front-crop-bikini-top-coc-6333518-02.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/3/6333518-02-1_vysvksrifcz0tvci_2.jpg
PARFOIS ,Áo Olas,1.190.000,https://www.acfc.com.vn/parfois-ao-olas-parfoi-187372-gnu-gn.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/8/187372_gn_3y_1.jpg
OLD NAVY ,Áo Kiểu Nữ,695.000,https://www.acfc.com.vn/ao-kieu-nu-oln-739562-00.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn27827306_hojh09cntrlc2qe6_1.jpg
TOMMY HILFIGER ,Quần Jeans Nữ Slim Cigarette Hw A Alix,3.199.000,https://www.acfc.com.vn/tommy-hilfiger-quan-jeans-nu-slim-cigarette-hw-a-alix-tommy-ww0ww34563-1bj.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/w/w/ww0ww345631bj_f_lnhqqodwkkqj2zkf.jpg
COTTON ON BODY ,Quần Thun Ngắn Nữ - Beach Throw On Short,579.000,https://www.acfc.com.vn/body-quan-thun-ngan-nu-beach-throw-on-short-coc-6333222-02.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/3/6333222-02-2_d0d5ezplgst6v296.jpg
CK JEANS ,Quần Jeans Nữ Mom Jeans Fit,4.429.000,https://www.acfc.com.vn/ck-jeans-quan-jeans-nu-mom-jeans-fit-ck-j218508-1bz.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/j/2/j218508-1bz-item-2_1.jpg
GAP ,Áo Hoodie Nữ - Logo Full Zip,1.150.000,https://www.acfc.com.vn/gap-ao-hoodie-nu-logo-full-zip-gap-268816-44.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn29450274_vvegpjnmetkpi6ez.jpg
MANGO ,Váy Charloti,279.000,https://www.acfc.com.vn/mango-vay-charloti-mango-67064425-99.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/7/67064425_99.jpg
